Sex,Length,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,49.5,-0.3833,3.252,0.09064,2.729207,2.813094,2.902644,3.0613,3.252,3.459533,3.662315,3.791604,3.924175
2,50,-0.3833,3.3518,0.09068,2.812752,2.899244,2.991576,3.155165,3.3518,3.565801,3.774909,3.908237,4.044951
2,50.5,-0.3833,3.4557,0.09072,2.899726,2.98893,3.084158,3.252884,3.4557,3.676436,3.892134,4.029667,4.170696
2,51,-0.3833,3.5636,0.09076,2.990043,3.082063,3.180301,3.354363,3.5636,3.791333,4.013876,4.155778,4.301291
2,51.5,-0.3833,3.6754,0.0908,3.083618,3.178559,3.279915,3.459507,3.6754,3.910385,4.140025,4.286455,4.436616
2,52,-0.3833,3.7911,0.09085,3.180391,3.278363,3.382958,3.568293,3.7911,4.033622,4.270637,4.421777,4.57677
2,52.5,-0.3833,3.9105,0.09089,3.280312,3.381404,3.489332,3.680579,3.9105,4.160775,4.405377,4.561358,4.721321
2,53,-0.3833,4.0332,0.09093,3.382985,3.487286,3.598641,3.795965,4.0332,4.291447,4.543848,4.704809,4.869881
2,53.5,-0.3833,4.1591,0.09098,3.488262,3.595865,3.710748,3.91433,4.1591,4.425561,4.686003,4.852097,5.022438
2,54,-0.3833,4.2875,0.09102,3.595683,3.706646,3.825119,4.035067,4.2875,4.562313,4.830929,5.00224,5.177937
2,54.5,-0.3833,4.4179,0.09106,3.704765,3.819142,3.941262,4.15768,4.4179,4.701201,4.978124,5.154738,5.335877
2,55,-0.3833,4.5498,0.0911,3.815089,3.932921,4.058733,4.281698,4.5498,4.841693,5.127025,5.309008,5.495657
2,55.5,-0.3833,4.6827,0.09114,3.926234,4.04755,4.177084,4.406651,4.6827,4.983257,5.277069,5.464466,5.656672
2,56,-0.3833,4.8162,0.09118,4.037866,4.162683,4.295958,4.532161,4.8162,5.125467,5.427805,5.620645,5.818439
2,56.5,-0.3833,4.95,0.09121,4.14981,4.278128,4.415143,4.657978,4.95,5.267968,5.578821,5.777096,5.980469
2,57,-0.3833,5.0837,0.09125,4.261578,4.393408,4.534174,4.783665,5.0837,5.410406,5.729813,5.933551,6.14253
2,57.5,-0.3833,5.2173,0.09128,4.373328,4.508656,4.653161,4.909283,5.2173,5.552707,5.880629,6.089804,6.304363
2,58,-0.3833,5.3507,0.0913,4.484981,4.623793,4.772019,5.034741,5.3507,5.694762,6.031152,6.24573,6.465836
2,58.5,-0.3833,5.4834,0.09132,4.596039,4.738318,4.890248,5.159537,5.4834,5.836075,6.180893,6.400851,6.626477
2,59,-0.3833,5.6151,0.09134,4.70625,4.851972,5.007579,5.283389,5.6151,5.976328,6.329515,6.554815,6.785923
2,59.5,-0.3833,5.7454,0.09135,4.81537,4.964486,5.123718,5.405955,5.7454,6.115053,6.47648,6.707039,6.943542
2,60,-0.3833,5.8742,0.09136,4.923229,5.075701,5.238517,5.527109,5.8742,6.252183,6.621759,6.857516,7.099354
2,60.5,-0.3833,6.0014,0.09137,5.029742,5.185529,5.351886,5.646756,6.0014,6.387612,6.765237,7.006131,7.25324
